ID,Key,Gemiddelde WOZ,Meest voorkomende postcode
943,BU03070204,394,      3811
944,WK030703  ,363,         .
945,BU03070300,397,      3812
946,BU03070301,374,      3812
947,BU03070302,368,      3812
948,BU03070303,330,      3812
949,BU03070304,356,      3812
950,BU03070305,302,      3812
951,BU03070306,406,      3812
952,BU03070307,383,      3812
953,BU03070308,420,      3812
954,BU03070309,,      3819
955,WK030704  ,266,         .
956,BU03070401,583,      3812
957,BU03070402,102,      3812
958,WK030705  ,462,         .
959,BU03070504,,      3812
960,BU03070505,,      3812
961,WK030706  ,396,         .
962,BU03070600,331,      3813
963,BU03070601,360,      3813
964,BU03070603,509,      3813
965,WK030707  ,339,         .
966,BU03070700,362,      3814
967,BU03070701,350,      3814
968,BU03070702,301,      3814
969,WK030708  ,357,         .
970,BU03070800,389,      3813
971,BU03070801,307,      3813
972,BU03070803,386,      3813
973,WK030709  ,380,         .
974,BU03070900,388,      3813
975,BU03070902,388,      3813
976,BU03070903,367,      3813
977,BU03070905,364,      3813
978,BU03070906,695,      3822
979,WK030710  ,313,         .
980,BU03071000,402,      3815
981,BU03071001,289,      3815
982,BU03071002,289,      3815
983,BU03071003,305,      3815
984,BU03071004,320,      3815
985,WK030711  ,402,         .
986,BU03071100,388,      3815
987,BU03071101,413,      3815
988,WK030712  ,725,         .
989,BU03071201,843,      3816
990,BU03071202,739,      3836
991,BU03071203,,      3815
992,BU03071204,457,      3821
993,BU03071205,595,      3821
994,WK030713  ,339,         .
995,BU03071300,357,      3816
